file,cortar_extremidades,pre_processamento,contaminacao,best_n_components,rmse_cal,rmsecv,rmse_test,RPD,RER,r2_cal,r2_cv,r2_test,start_index,end_index
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.2,5,8.53,9.35,9.73,3.31,10.28,0.93,0.91,0.91,10,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.06,9,8.58,8.88,10.93,3.12,9.15,0.93,0.92,0.9,30,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.07,8,7.0,7.57,8.65,3.89,11.56,0.96,0.95,0.94,0,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.13,9,7.07,7.76,12.22,2.73,8.18,0.95,0.94,0.87,20,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.08,8,13.83,14.84,15.3,2.22,6.54,0.84,0.81,0.79,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.13,10,10.66,12.16,15.65,2.14,6.39,0.9,0.86,0.79,0,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.08,3,30.65,31.3,31.35,1.09,3.19,0.19,0.15,0.17,30,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.01,8,8.06,8.58,8.78,3.86,11.39,0.94,0.93,0.94,60,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.11,5,26.8,29.04,33.37,1.03,3.0,0.38,0.26,0.1,50,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.11,8,25.24,30.08,34.1,1.0,2.93,0.45,0.2,0.03,40,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.06,6,27.95,30.8,32.76,1.04,3.05,0.29,0.12,0.15,50,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.07,6,8.39,8.62,7.55,4.4,13.24,0.93,0.93,0.95,60,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.19,10,4.79,5.12,10.23,3.24,9.78,0.98,0.97,0.91,0,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.06,10,8.53,8.99,10.55,3.23,9.48,0.93,0.92,0.91,10,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.2,5,9.68,10.64,8.77,3.59,11.4,0.9,0.86,0.93,30,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.13,9,7.07,7.76,12.22,2.73,8.18,0.95,0.94,0.87,20,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.08,8,13.83,14.84,15.3,2.22,6.54,0.84,0.81,0.79,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.08,10,12.33,14.0,13.94,2.41,7.17,0.86,0.81,0.83,0,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.13,2,31.19,31.65,29.49,1.17,3.39,0.16,0.11,0.3,30,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.11,10,23.85,28.87,38.03,0.9,2.63,0.5,0.26,-0.18,50,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.11,5,28.22,30.02,30.75,1.11,3.25,0.3,0.2,0.22,40,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.17,6,25.01,26.66,27.11,1.26,3.69,0.47,0.39,0.37,60,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.2,5,7.9,8.39,7.74,4.1,12.92,0.94,0.92,0.94,60,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.07,9,9.09,9.97,8.23,4.08,12.16,0.93,0.91,0.94,30,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.08,10,15.12,17.27,14.75,2.29,6.78,0.8,0.71,0.81,20,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.13,8,7.82,8.59,10.79,3.07,9.26,0.94,0.92,0.9,0,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.17,7,14.48,15.25,12.12,2.77,8.25,0.82,0.79,0.87,60,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.12,6,6.07,6.57,10.26,3.24,9.74,0.97,0.96,0.9,0,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.11,5,28.22,30.02,30.75,1.11,3.25,0.3,0.2,0.22,40,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.06,6,27.95,30.8,32.76,1.04,3.05,0.29,0.12,0.15,50,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.06,10,7.22,7.76,11.36,2.99,8.8,0.95,0.94,0.9,100,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.08,1,33.86,34.37,33.94,1.0,2.95,0.01,-0.03,-0.01,10,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.16,5,25.84,27.09,27.37,1.25,3.65,0.43,0.37,0.35,50,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.04,8,8.94,10.63,9.27,3.65,10.79,0.92,0.89,0.94,20,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.07,9,6.37,7.07,9.41,3.55,10.63,0.96,0.95,0.92,30,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.1,7,12.6,13.05,11.72,2.9,8.53,0.86,0.84,0.88,10,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.13,7,7.54,9.34,10.53,3.17,9.5,0.95,0.91,0.9,0,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.02,9,13.58,15.0,13.83,2.46,7.23,0.83,0.79,0.85,10,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.17,9,13.3,15.0,15.28,2.24,6.54,0.85,0.8,0.8,0,140
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.14,10,7.98,8.81,11.1,3.05,9.01,0.94,0.92,0.9,70,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.16,10,7.89,9.02,6.66,5.05,15.0,0.94,0.92,0.96,20,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.11,6,30.32,32.26,34.31,1.0,2.91,0.2,0.07,0.06,100,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.0,8,7.03,7.49,9.97,3.41,10.03,0.96,0.95,0.92,90,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.04,8,8.94,10.63,9.27,3.65,10.79,0.92,0.89,0.94,20,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.13,8,7.03,8.79,10.64,3.07,9.4,0.95,0.92,0.9,30,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.14,9,8.42,9.02,8.01,4.12,12.49,0.93,0.92,0.94,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.14,10,7.98,8.81,11.1,3.05,9.01,0.94,0.92,0.9,70,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.18,7,11.86,12.58,14.52,2.36,6.88,0.87,0.86,0.83,80,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.17,9,13.3,15.0,15.28,2.24,6.54,0.85,0.8,0.8,0,140
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.17,3,32.32,33.23,36.24,0.94,2.76,0.11,0.05,-0.14,100,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.19,5,28.9,30.0,30.51,1.13,3.28,0.29,0.21,0.23,20,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.02,6,8.52,9.26,8.67,3.9,11.53,0.93,0.92,0.94,70,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.04,8,8.94,10.63,9.27,3.65,10.79,0.92,0.89,0.94,20,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.14,9,8.42,9.02,8.01,4.12,12.49,0.93,0.92,0.94,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.0,7,7.21,7.52,9.99,3.4,10.01,0.95,0.95,0.92,70,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.01,10,8.52,10.3,9.95,3.41,10.05,0.94,0.9,0.92,40,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.13,8,7.03,8.79,10.64,3.07,9.4,0.95,0.92,0.9,30,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.2,10,7.3,7.67,8.9,3.72,11.23,0.95,0.94,0.93,30,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.17,6,12.25,12.9,14.16,2.41,7.06,0.87,0.85,0.83,80,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.18,9,13.42,15.26,14.96,2.29,6.68,0.84,0.78,0.82,0,140
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.07,9,14.24,16.03,15.18,2.21,6.59,0.82,0.76,0.8,80,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.14,6,8.64,9.54,10.19,3.18,9.81,0.93,0.91,0.9,50,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.15,5,29.74,31.69,33.07,1.04,3.02,0.21,0.08,0.15,100,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.04,8,8.94,10.63,9.27,3.65,10.79,0.92,0.89,0.94,20,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.14,9,8.42,9.02,8.01,4.12,12.49,0.93,0.92,0.94,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.2,10,7.3,7.67,8.9,3.72,11.23,0.95,0.94,0.93,30,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.0,7,7.21,7.52,9.99,3.4,10.01,0.95,0.95,0.92,70,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.13,7,7.69,9.42,10.74,3.08,9.32,0.95,0.91,0.9,40,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.17,7,13.95,14.69,13.32,2.54,7.51,0.83,0.81,0.84,50,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.14,6,6.61,7.51,9.9,3.35,10.1,0.96,0.95,0.91,80,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.07,8,13.5,14.6,13.25,2.55,7.54,0.84,0.81,0.85,0,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.11,10,11.9,13.32,14.33,2.36,6.98,0.87,0.84,0.83,20,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.07,6,7.78,8.7,8.47,3.99,11.8,0.95,0.93,0.94,100,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.11,9,8.48,9.46,9.09,3.66,11.0,0.93,0.91,0.93,0,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.17,10,7.3,8.12,10.04,3.34,9.96,0.95,0.94,0.91,40,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.14,7,8.49,8.86,10.78,3.04,9.28,0.93,0.92,0.89,20,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.04,6,9.34,10.48,10.73,3.16,9.32,0.92,0.89,0.91,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.2,10,7.58,8.5,9.37,3.54,10.68,0.95,0.93,0.93,100,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.07,6,7.84,9.17,7.61,4.42,13.14,0.94,0.92,0.95,30,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.0,8,7.08,7.35,9.71,3.5,10.29,0.96,0.95,0.92,0,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.12,5,28.54,29.61,34.93,0.99,2.86,0.31,0.25,-0.0,10,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.17,10,7.23,7.71,8.22,4.06,12.17,0.95,0.94,0.94,40,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.16,9,7.13,7.87,8.73,3.82,11.46,0.95,0.94,0.93,90,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.17,7,13.95,14.69,13.32,2.54,7.51,0.83,0.81,0.84,50,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.11,10,11.9,13.32,14.33,2.36,6.98,0.87,0.84,0.83,20,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.15,9,7.38,7.37,9.7,3.46,10.31,0.95,0.94,0.92,40,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.07,6,7.84,9.17,7.61,4.42,13.14,0.94,0.92,0.95,30,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.18,10,12.12,14.81,13.08,2.53,7.65,0.86,0.78,0.85,0,120
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.16,7,7.7,7.92,9.15,3.63,10.93,0.94,0.94,0.93,100,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.2,10,7.46,8.43,8.4,3.93,11.91,0.95,0.93,0.94,90,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.0,10,7.24,7.63,9.65,3.52,10.36,0.95,0.94,0.92,0,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.15,9,6.22,7.11,8.87,3.66,11.28,0.96,0.95,0.93,40,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.04,6,9.34,10.48,10.73,3.16,9.32,0.92,0.89,0.91,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.14,7,8.49,8.86,10.78,3.04,9.28,0.93,0.92,0.89,20,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.13,10,8.16,9.5,10.17,3.32,9.83,0.94,0.92,0.91,20,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.11,8,16.87,18.17,19.16,1.77,5.22,0.75,0.7,0.7,20,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.1,9,8.74,9.53,7.76,4.38,12.89,0.93,0.92,0.95,50,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.12,2,30.97,31.76,32.12,1.07,3.11,0.18,0.13,0.13,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.18,7,13.44,14.3,14.79,2.26,6.76,0.83,0.8,0.82,50,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.0,8,8.18,8.61,11.1,3.06,9.01,0.94,0.93,0.9,10,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.02,10,8.85,9.42,10.31,3.29,9.7,0.93,0.92,0.91,80,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.07,5,8.1,8.53,7.65,4.39,13.08,0.94,0.93,0.95,30,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.1,10,9.13,9.87,7.22,4.69,13.84,0.93,0.91,0.96,50,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.2,10,7.46,8.43,8.4,3.93,11.91,0.95,0.93,0.94,90,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.12,6,6.98,7.14,10.08,3.24,9.92,0.96,0.95,0.9,50,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.15,8,7.72,8.02,9.86,3.4,10.14,0.94,0.94,0.92,0,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.13,7,7.69,9.42,10.74,3.08,9.32,0.95,0.91,0.9,40,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.14,10,8.19,9.06,9.8,3.45,10.21,0.94,0.92,0.92,60,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.0,10,8.11,8.82,11.27,3.01,8.87,0.94,0.93,0.9,80,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.06,3,31.25,32.4,33.32,1.01,3.0,0.09,0.01,0.1,90,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.18,10,12.12,14.81,13.08,2.53,7.65,0.86,0.78,0.85,0,120
